id,name,description,itineraries,address,url,breakfast,lunch,dinner,drinks,coffee,snacks,city,region,country
610,"Senor Sisig ",Fusion sisig + burrito sit down,"Food Truck Fun, Taco Party, Vegetarian",990 Valencia Street,https://www.senorsisig.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
611,Mamas,Classic breakfast and lunch options,Brunch for Days,1701 Stockton St. (at Filbert St.),http://www.mamas-sf.com/,Yes,Yes,No,No,No,No,San Francisco,California,USA
612,Yank Sing,"Dim sum extraordinare. Lunch only for sit down, take out until 7pm.",Greatest Hits,https://goo.gl/maps/g5bZv8V5FkZnXdX48,https://yanksing.com/,No,Yes,No,No,No,No,San Francisco,California,USA
613,Prubechu,Guamanian food with an excellent patio,Patio Life,2224 Mission Street,https://www.prubechu.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
614,Saigon Sandwich,Banh Mi,Cheap Eats,"560 Larkin St, San Francisco",,Yes,Yes,No,No,No,No,San Francisco,California,USA
615,Dragon Beaux,Creative dim sum,Greatest Hits,5700 GEARY BOULEVARD,https://dragonbeaux.com/,No,Yes,No,No,No,No,San Francisco,California,USA
616,Scomas,Pier to plate seafood,"Local Specialities, Seafood","1965 Al Scoma Way
Pier 47, Fisherman’s Wharf",https://scomas.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
617,Beit Rima,Mezze platters,Cheap Eats,138 Church St,http://www.beitrimasf.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
618,Reem’s,Middle-eastern,"Cheap Eats, Vegetarian",2901 Mission Street,https://www.reemscalifornia.com/,No,No,No,No,No,No,San Francisco,California,USA
619,Zuni Cafe,Classy woodfired food,Dining out in Style,1658 Market Street,http://zunicafe.com/,No,Yes,Yes,Yes,No,No,San Francisco,California,USA
620,Little Szechuan,Classic western chinese,Greatest Hits,501 Broadway,http://www.littleszechuansf.com/,No,No,No,No,No,No,San Francisco,California,USA
621,Good Mong Kok Bakery,Bao and such,Cheap Eats,1039 Stockton St,https://www.goodmongkok.com/,Yes,Yes,Yes,No,No,No,San Francisco,California,USA
622,Tacorea,Korean-mexican fusion,"Cheap Eats, Taco Party",809 Bush St,https://tacorea.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
623,Akiko's Restaurant,Low-key but excellent sushi,Greatest Hits,431 Bush St,http://akikosrestaurant.com/,No,No,Yes,No,No,No,San Francisco,California,USA
624,Mensho Tokyo SF,Ramen,Greatest Hits,672 Geary St,,No,No,Yes,No,No,No,San Francisco,California,USA
625,Nari,Thai-Californian,Dining out in Style,1625 Post St,https://www.narisf.com/food-menu,No,Yes,Yes,Yes,No,No,San Francisco,California,USA
626,Wildseed,Classy vegan,Vegetarian,2000 Union St,https://www.wildseedsf.com/san-francisco-home/,No,Yes,Yes,No,No,No,San Francisco,California,USA
627,Vegan Picnic,Vegan deli,"Cheap Eats, Vegetarian",1323 Polk St,https://veganpicnic.com/,No,Yes,No,No,No,No,San Francisco,California,USA
628,Bellota,Spanish tapas with lots of vegetarian items,Vegetarian,888 BRANNAN STREET NEAR 8TH STREET,https://www.bellotasf.com/,No,No,Yes,No,No,No,San Francisco,California,USA
629,Udupi Palace,South-indian,Vegetarian,1007 Valencia Street,,No,Yes,Yes,No,No,No,San Francisco,California,USA
630,La Cocina Municipal Marketplace,Fun mexican fare,Cheap Eats,101 Hyde St,https://lacocinamarketplace.com/,Yes,Yes,Yes,No,No,No,San Francisco,California,USA
631,Otra,Modern mexican,"Patio Life, Taco Party, Vegetarian",682 Haight St,https://www.otrasf.com/,No,No,Yes,Yes,No,No,San Francisco,California,USA
632,Rintaro,Izakaya,Seafood,82 14th St,http://izakayarintaro.com/,No,No,Yes,No,No,No,San Francisco,California,USA
633,um.ma,Korean BBQ,Patio Life,1220 9th Ave,http://www.ummasf.com/,No,Yes,Yes,No,No,No,San Francisco,California,USA
634,"Auntie April's Chicken, Waffles, & Soul Food Restaurant",Southern-style breakfast,Cheap Eats,4618 3rd St,https://orderauntieaprilsrestaurant.com/,Yes,Yes,Yes,No,No,No,San Francisco,California,USA
